"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"placeType/plateau",,"PlaceType","plateau",,"Aire géographique où les cours d’eau sont encaissés, par opposition aux plaines où les cours d’eau coulent à fleur de sol. Le relief y est peu marqué, ce qui différencie un plateau d’une montagne (source : Wikipédia).",,"placeType/zone%20naturelle","zone naturelle",,,,,,,,"2020-06-17 : Ajouté le 17 juin 2020."
"placeType/pointe",,"PlaceType","pointe",,,,"placeType/zone%20naturelle","zone naturelle",,,,,,,,
"placeType/pont",,"PlaceType","pont","petit pont","Un pont est un ouvrage d’art qui permet de franchir un obstacle naturel ou artificiel en passant par-dessus. (source: Wikipédia).",,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,"http://www.wikidata.org/entity/Q12280",,,,,"01/03/2025 : Ajouté rdfs:comment, rdfs:seeAlso, exactMatch et altLabel. | 12/03/2025 : Ajouté un skos:narrower pour le concept de passerelle."
"placeType/pont-canal",,"PlaceType","pont-canal",,,,"placeType/pont","pont",,,,,,,,
"placeType/port",,"PlaceType","port",,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,
"placeType/porte",,"PlaceType","porte","porta | porte de ville","Une porte de ville fait partie des fortifications d’une ville. (source : Wikipédia).",,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"placeType/fausse%20porte","http://www.wikidata.org/entity/Q82117",,,,,"2025-03-12 : Concept ajouté."
"placeType/poterne",,"PlaceType","poterne",,"« Une poterne est une petite porte qui était intégrée aux murailles d’une fortification, de façon discrète et qui permettait aux habitants du château de sortir ou rentrer à l’insu de l’assiégeant ». (source: Wikipédia).",,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,"http://www.wikidata.org/entity/Q23418",,,,,"2025-03-12 : Concept ajouté."
"placeType/pr%C3%A9au",,"PlaceType","préau",,"« Un espace couvert ou non couvert, situé à l’intérieur de certains édifices tels que des hôpitaux, des prisons ou des monastères (préau claustral) généralement utilisé pour la promenade des personnes qui y résident ». (source: Wikipédia).",,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,"http://www.wikidata.org/entity/Q109041888 | http://data.culture.fr/thesaurus/resource/ark:/67717/T96-337",,,,"2025-03-12 : Concept ajouté."
"placeType/prison",,"PlaceType","prison",,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,
"placeType/promenade",,"PlaceType","promenade",,"« Une promenade est un lieu (parc, square…) ou une voie sur lesquels on se promène ». (source: Wikipédia)",,"placeType/voie","voie",,,"http://www.wikidata.org/entity/Q787113",,,,,"2025-03-12 : Concept ajouté."
"placeType/quai",,"PlaceType","quai",,"« Un quai est un dispositif permettant le chargement et le déchargement de passagers et de biens au bord d’une étendue d’eau (source: Wikipédia) ». « Les voies de circulation qui longent les voies d’eau, particulièrement en zone urbaine, prennent fréquemment le nom de ""quai"" même en l’absence d’accostage ». « Le terme de quai est également utilisé dans les chemins de fer ; il provient du monde de la marine. Il permet d’embarquer ou de débarquer les voyageurs et les marchandises dans les trains (source: Wikipédia)",,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"placeType/voie","",,,,,"2025-03-12 : Concept ajouté."
"placeType/quartier",,"PlaceType","quartier",,"partie d’une ville (source : Wikipédia).",,,,,,"http://data.ign.fr/id/codes/topo/typedezai/Quartier",,,,,
"placeType/r%C3%A9gion",,"PlaceType","région française",,,,,,,,,,,,,
"placeType/rond-point",,"PlaceType","rond-point","rondpoint","« Un rond-point, ou rondpoint est une dépendance routière consistant généralement en une place circulaire (ronde, ovale ou polygonale) ou demi-circulaire. Un édicule (œuvre d’art, fontaine) est généralement placé en son centre ». (source: Wikipédia)",,"placeType/carrefour","carrefour",,,"http://www.wikidata.org/entity/Q1529",,,,,"2025-03-12 : Concept ajouté."
