"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_026)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Historique (rico:history)"
"place/FRAN_RI_026-d3nzuq2t47-35nbcfjt1nkj","d3nzuq2t47-35nbcfjt1nkj","Tournelle (château de la)",,
"place/FRAN_RI_026-d5bknxmo2f-in7n8zdnvpef","d5bknxmo2f-in7n8zdnvpef","Tournelle (enseigne de la)",,
"place/FRAN_RI_026-d3nzuq34bq-13zrs2mmo8hof","d3nzuq34bq-13zrs2mmo8hof","Tournelles (hôtel des)",,"Place des Vosges."
"place/FRAN_RI_026-d3nzuq3g6j--ctnqwj7jyvg2","d3nzuq3g6j--ctnqwj7jyvg2","Tournelles (palais des)",,"Place des Vosges."
"place/FRAN_RI_026-d5bknwv1h5-19fo8pdamt1mk","d5bknwv1h5-19fo8pdamt1mk","Tour Royale (enseigne de la)",,
"place/FRAN_RI_026-d3nzuq3rlt-xj25dn65ltp4","d3nzuq3rlt-xj25dn65ltp4","Tours (collège de)",,
"place/FRAN_RI_026-d3nzuq4314--10roz4k3ju1k","d3nzuq4314--10roz4k3ju1k","Tours (hôtel de)",,
"place/FRAN_RI_026-d3nzuq4e8n-h5wg516o2hfr","d3nzuq4e8n-h5wg516o2hfr","Tourville (hôtel de)",,
"place/FRAN_RI_026-d3nzuq4pg6-1y2jtektvc5if","d3nzuq4pg6-1y2jtektvc5if","Tracy (hôtel de)",,
"place/FRAN_RI_026-d5bknwwbe1--dargz1k7l2qm","d5bknwwbe1--dargz1k7l2qm","Tranchoir (enseigne du)",,
"place/FRAN_RI_026-d3nzuq50vg--uqbjk98k5a1y","d3nzuq50vg--uqbjk98k5a1y","Tréguier (collège de)",,
"place/FRAN_RI_026-d5bknw1wka--1rlogtfnefqxa","d5bknw1wka--1rlogtfnefqxa","Treille (enseigne de la)",,
"place/FRAN_RI_026-d5bknxabl0--13s31za20ds6w","d5bknxabl0--13s31za20ds6w","Treillis (enseigne du)",,
"place/FRAN_RI_026-d5bknw12dv-114gma2otbusk","d5bknw12dv-114gma2otbusk","Treillis Vert (enseigne du)",,
"place/FRAN_RI_026-d5bknxvi0n-bxtbpt159q6y","d5bknxvi0n-bxtbpt159q6y","Treize Canettes (enseigne des)",,
"place/FRAN_RI_026-d3nzuq5nq1--3tgykbzxpej7","d3nzuq5nq1--3tgykbzxpej7","Trésorier (collège du)",,
"place/FRAN_RI_026-d3nzuq5yxk-zxidpjvoqa02","d3nzuq5yxk-zxidpjvoqa02","Trévières (hôtel de)",,
"place/FRAN_RI_026-d3nzuq6acu--1fb8a1yn8sipr","d3nzuq6acu--1fb8a1yn8sipr","Tribunat (palais du)",,
"place/FRAN_RI_026-d3m0cuh7gv1--zhh3169512fv","d3m0cuh7gv1--zhh3169512fv","Trinité (couvent de la)",,
"place/FRAN_RI_026-d5bknxaw28-1klb87bw5i232","d5bknxaw28-1klb87bw5i232","Trinité (hôpital de la)",,"Rue Saint-Denis."
"place/FRAN_RI_026-d3m0cugy644-1kon0hbmbz4nd","d3m0cugy644-1kon0hbmbz4nd","Trinité (hôtel de la)",,
"place/FRAN_RI_026-d3nzuq7qyb--n7dcuottguao","d3nzuq7qyb--n7dcuottguao","Trocadéro (gare du)",,
"place/FRAN_RI_026-d5bknxcdaz--8148olyaumje","d5bknxcdaz--8148olyaumje","Trois Bourses (enseigne des)",,
"place/FRAN_RI_026-d5bknwbna1--1bt1pxztgl75i","d5bknwbna1--1bt1pxztgl75i","Trois Brochets (enseigne des)",,
"place/FRAN_RI_026-d5bknxl5yn-1lh95a0nwvznc","d5bknxl5yn-1lh95a0nwvznc","Trois Coquelets (enseigne des)",,
"place/FRAN_RI_026-d5bknwjgss--1iorp2cobkn0r","d5bknwjgss--1iorp2cobkn0r","Trois Corbillons (enseigne des)",,
"place/FRAN_RI_026-d5bknwmiip--12tqc9hacqvsd","d5bknwmiip--12tqc9hacqvsd","Trois Corneilles (enseigne des)",,
"place/FRAN_RI_026-d5bknwqo48-q4gw4p9bghka","d5bknwqo48-q4gw4p9bghka","Trois Cornettes (enseigne des)",,
"place/FRAN_RI_026-d5bknwbwz8--1ssam9hbsekky","d5bknwbwz8--1ssam9hbsekky","Trois Couleurs (enseigne des)",,
"place/FRAN_RI_026-d5bknx0u4y--4dr89gczii2h","d5bknx0u4y--4dr89gczii2h","Trois Couronnes (enseigne des)",,
"place/FRAN_RI_026-d5bknwovvp-ax6mslfhz8br","d5bknwovvp-ax6mslfhz8br","Trois Cramillières (enseigne des)",,
"place/FRAN_RI_026-d5bknxouqv--1rzqsgun56xjw","d5bknxouqv--1rzqsgun56xjw","Trois Croissants (enseigne des)",,
"place/FRAN_RI_026-d5bknwb618--23wibuvxkf12","d5bknwb618--23wibuvxkf12","Trois Déesses (enseigne des)",,
"place/FRAN_RI_026-d5bknw0nif--2da68c6kuqi9","d5bknw0nif--2da68c6kuqi9","Trois Fleurs Couronnées (enseigne des)",,
"place/FRAN_RI_026-d5bknx62jb-1grbga4iqhh2e","d5bknx62jb-1grbga4iqhh2e","Trois Maillets (enseigne des)",,
"place/FRAN_RI_026-d5bknx7rbo--1liwey9bssyf6","d5bknx7rbo--1liwey9bssyf6","Trois Maures (enseigne des)",,
"place/FRAN_RI_026-d5bknw5k9q-1sqfrccbbmyx7","d5bknw5k9q-1sqfrccbbmyx7","Trois Moutons (enseigne des)",,
"place/FRAN_RI_026-d5bknw7hw9-k6rlcw46tsyb","d5bknw7hw9-k6rlcw46tsyb","Trois Orangers (enseigne des)",,
"place/FRAN_RI_026-d5bknwjcx3--16l32ysf085q6","d5bknwjcx3--16l32ysf085q6","Trois Pigeons (enseigne des)",,
"place/FRAN_RI_026-d5bknwesvm-1ak1x0638bek8","d5bknwesvm-1ak1x0638bek8","Trois Piliers Verts (enseigne des)",,
"place/FRAN_RI_026-d5bknws558--1pkqsigu7oq4g","d5bknws558--1pkqsigu7oq4g","Trois Poissons (enseigne des)",,
"place/FRAN_RI_026-d5bknxj4o6--1dsz69n6ftena","d5bknxj4o6--1dsz69n6ftena","Trois Pucelles (enseigne des)",,
"place/FRAN_RI_026-d5bknwx11i--vvwhtbmq5h6k","d5bknwx11i--vvwhtbmq5h6k","Trois Rois (enseigne des)",,
"place/FRAN_RI_026-d5bknwcutl-7dpse66hgnq8","d5bknwcutl-7dpse66hgnq8","Trois Rois (hôtel des)",,
"place/FRAN_RI_026-d5bknx2dr2-1d2mvnlip2hg7","d5bknx2dr2-1d2mvnlip2hg7","Trois Saucières (enseigne des)",,
"place/FRAN_RI_026-d5bknw2z5c--18c0cb8mj2v2k","d5bknw2z5c--18c0cb8mj2v2k","Trois Serpettes (enseigne des)",,
"place/FRAN_RI_026-d5bknx01wd--2c5n8u806vqz","d5bknx01wd--2c5n8u806vqz","Trois Singes (enseigne des)",,
"place/FRAN_RI_026-d5bknxgkud-184x0f8jplejh","d5bknxgkud-184x0f8jplejh","Trois Torches (enseigne des)",,
"place/FRAN_RI_026-d5bknwa8en--101dsyt3k2cf0","d5bknwa8en--101dsyt3k2cf0","Trois Verts Galants (enseigne des)",,
"place/FRAN_RI_026-d3nzuq9m7h-hu2npiz91i9j","d3nzuq9m7h-hu2npiz91i9j","Trône (barrière du)",,
"place/FRAN_RI_026-d5bknwu7xz-60vkj1rv56z3","d5bknwu7xz-60vkj1rv56z3","Truite (enseigne de la)",,
"place/FRAN_RI_026-d3nzuqar5w--juhxp1bfs0yz","d3nzuqar5w--juhxp1bfs0yz","Tuileries (jardin des)",,
"place/FRAN_RI_026-d3nzuqbmmw--ec855ok25fd6","d3nzuqbmmw--ec855ok25fd6","Tuileries (orangerie des)",,
"place/FRAN_RI_026-d3nzuqc0fj-yry0x8tvnmjn","d3nzuqc0fj-yry0x8tvnmjn","Tuileries (palais des)",,
"place/FRAN_RI_026-d3nzuqccac-5ntj7h7ec2qt","d3nzuqccac-5ntj7h7ec2qt","Université (hôtel de l')",,
"place/FRAN_RI_026-d3nzuqcoko-1e7owbp6lac7l","d3nzuqcoko-1e7owbp6lac7l","Ursins (hôtel des)",,"Rue des Ursins."
"place/FRAN_RI_026-d3nzuqczzy--1bd0t6eh7cok1","d3nzuqczzy--1bd0t6eh7cok1","Ursulines (couvent des)",,
"place/FRAN_RI_026-d3nzuqdbur-14ded33nl90fz","d3nzuqdbur-14ded33nl90fz","Ussons (hôtel d')",,
"place/FRAN_RI_026-d3nzuqdo53-1wwronl1jwzu8","d3nzuqdo53-1wwronl1jwzu8","Uzès (hôtel d')",,"Rue Montmartre."
"place/FRAN_RI_026-d5bknwz9ns--ngnxqyount11","d5bknwz9ns--ngnxqyount11","Vache Cornée (enseigne de la)",,
"place/FRAN_RI_026-d3nzuqdzzw--k0r2gp5hr0tr","d3nzuqdzzw--k0r2gp5hr0tr","Val-de-Grâce (abbaye du)",,
"place/FRAN_RI_026-d3nzuqec2h-1ldp227ufqg4g","d3nzuqec2h-1ldp227ufqg4g","Val-de-Grâce (église du)",,
"place/FRAN_RI_026-d3nzuqenxa--1addzpzy72v4m","d3nzuqenxa--1addzpzy72v4m","Val-de-Grâce (hôpital du)",,
"place/FRAN_RI_026-d3nzuqf07m-10tf2mnotxbe3","d3nzuqf07m-10tf2mnotxbe3","Valois (hôtel de)",,
"place/FRAN_RI_026-d3nzuqfc2f--1vk7far9p7iq","d3nzuqfc2f--1vk7far9p7iq","Varsovie (hôtel de)",,
"place/FRAN_RI_026-d3nzuqfzs1--1dr5ikoqevflb","d3nzuqfzs1--1dr5ikoqevflb","Vaudreuil (hôtel de)",,
"place/FRAN_RI_026-d3nzuqgbul-14jx7t1xzrklm","d3nzuqgbul-14jx7t1xzrklm","Vaugirard (barrière de)",,
"place/FRAN_RI_026-d3nzuqgnx6--m70ooza5bbaf","d3nzuqgnx6--m70ooza5bbaf","Vaugirard (couvent de)",,
"place/FRAN_RI_026-d3nzuqgzrz--mevruxfo5pvx","d3nzuqgzrz--mevruxfo5pvx","Vaugirard (hôpital de)",,
"place/FRAN_RI_026-d3nzuqhn9u--toiqzaf25qgm","d3nzuqhn9u--toiqzaf25qgm","Vaugirard (théâtre de)",,
"place/FRAN_RI_026-d3nzuqhywv-1xaulxf8juzl1","d3nzuqhywv-1xaulxf8juzl1","Vaupalière (hôtel de la)",,
"place/FRAN_RI_026-d3nzuqiajx--a78lxjsq2ayk","d3nzuqiajx--a78lxjsq2ayk","Vauvert (château de)",,"Site de l'actuel jardin du Luxembourg."
"place/FRAN_RI_026-d3nzuqimeq-q7in2ivx9uzz","d3nzuqimeq-q7in2ivx9uzz","Vauvert (couvent de)","Paris (chartreuse de) | Vauvert (chartreuse de)","Site de l'actuel jardin du Luxembourg."
"place/FRAN_RI_026-d3nzuqiy1s--tvvmeckkc0kt","d3nzuqiy1s--tvvmeckkc0kt","Vendôme (collège de)",,
"place/FRAN_RI_026-d3nzuqj9ou-gd83txcx8j8d","d3nzuqj9ou-gd83txcx8j8d","Vendôme (colonne)","Victoire (colonne de la) | Austerlitz (colonne d') | Grande-Armée (colonne de la)",
"place/FRAN_RI_026-d3nzuqjlre-1o464its9xi2u","d3nzuqjlre-1o464its9xi2u","Vendôme (hôtel de)",,"Boulevard Saint-Michel. Actuellement Ecole Nationale Supérieure des Mines."
"place/FRAN_RI_026-d3nzuqjy1q--1er6lakzsqqsn","d3nzuqjy1q--1er6lakzsqqsn","Vénerie (hôtel de la)",,
"place/FRAN_RI_026-d3nzuqka4a-qn9j8dz5us4o","d3nzuqka4a-qn9j8dz5us4o","Venise (hôtel de)",,
"place/FRAN_RI_026-d3nzuqklrc--20l78qnrs0ph","d3nzuqklrc--20l78qnrs0ph","Vernicourt (hôtel de)",,
"place/FRAN_RI_026-d3nzuqkxtx--1srj3qvtz30jq","d3nzuqkxtx--1srj3qvtz30jq","Verrue (hôtel de)",,
"place/FRAN_RI_026-d5bknwxg4p-1l39id0od9cxk","d5bknwxg4p-1l39id0od9cxk","Vert Galant (enseigne du)",,
"place/FRAN_RI_026-d5bknxtxr8-mz8vh65t9nh4","d5bknxtxr8-mz8vh65t9nh4","Verts Galants (enseigne des)",,
"place/FRAN_RI_026-d3nzuql9wh--or3ljs3di804","d3nzuql9wh--or3ljs3di804","Vézelay (hôtel de)",,"Rue de Bièvre."
"place/FRAN_RI_026-d3nzuqlxec--182mr2m0qqbkk","d3nzuqlxec--182mr2m0qqbkk","Vigier (bains)",,
"place/FRAN_RI_026-d5bknwobm9--1hro3clw8ob4w","d5bknwobm9--1hro3clw8ob4w","Villars (petit hôtel de)",,"Rue de Grenelle."
"place/FRAN_RI_026-d5bknxjza4--1nzq8kd8ib1pr","d5bknxjza4--1nzq8kd8ib1pr","Ville d'Anvers (enseigne de la)",,
"place/FRAN_RI_026-d5bknwaocw-bvk3xt97dh9f","d5bknwaocw-bvk3xt97dh9f","Ville d'Auxerre (enseigne de la)",,
"place/FRAN_RI_026-d5bknxs5iq-1pjsom51t8h07","d5bknxs5iq-1pjsom51t8h07","Ville de Calais (enseigne de la)",,
"place/FRAN_RI_026-d5bknxlza0--1brkuw1mifgbz","d5bknxlza0--1brkuw1mifgbz","Ville de Haarlem (enseigne de la)",,
"place/FRAN_RI_026-d5bknwxmli--1bv87e6adlpjw","d5bknwxmli--1bv87e6adlpjw","Ville de Lyon (enseigne de la)",,
"place/FRAN_RI_026-d3m0cugplig-vj59jsa36fa0","d3m0cugplig-vj59jsa36fa0","Villejuif (abattoirs de)",,
"place/FRAN_RI_026-d5bknxduz9-vda17y482t7y","d5bknxduz9-vda17y482t7y","Villemin (hôpital)","Récollets (caserne des) | Récollets (couvent des) | Incurables-Hommes (hôpital des)",
"place/FRAN_RI_026-d3nzuqmwj8--1ij91oth6qp8s","d3nzuqmwj8--1ij91oth6qp8s","Villequier (hôtel de)",,
"place/FRAN_RI_026-d3nzuqn8lt-1eaqltucapug1","d3nzuqn8lt-1eaqltucapug1","Villeroy (hôtel de)","Poste (hôtel de)","Cette dénomination correspond à 2 hôtels situés : rue des Bourdonnais et rue des Déchargeurs (également dénommé Poste (hôtel de)), rue de Varenne."
"place/FRAN_RI_026-d3nzuqnljf--doy4l12566k4","d3nzuqnljf--doy4l12566k4","Villette (hôtel de)",,
"place/FRAN_RI_026-d3nzuqnyh1--4gwrehvfd3a8","d3nzuqnyh1--4gwrehvfd3a8","Vincennes (bois de)",,
"place/FRAN_RI_026-d3nzuqpjdp-bv0ldfmogmnm","d3nzuqpjdp-bv0ldfmogmnm","Vitry (hôtel de)","Boufflers (hôtel de) | Duras (hôtel de) | Guiche (hôtel de) | Lefebvre-d'Ormesson (hôtel) | Le Charron (hôtel)","Cette dénomination correspond à 3 hôtel situés : rue des Minimes, place des Vosges (également dénommé Guiche (hôtel de), Boufflers (hôtel de), Lefebvre-d'Ormesson (hôtel), Duras (hôtel de)), quai de Bourbon (également dénommé Le Charron (hôtel))."
"place/FRAN_RI_026-d3nzuqpvvs--1fpr72jooxqma","d3nzuqpvvs--1fpr72jooxqma","Voirie (barrière de la)",,
"place/FRAN_RI_026-d3nzuqqc1s--1x9lfkadwdaap","d3nzuqqc1s--1x9lfkadwdaap","Voisins (hôtel de)",,
"place/FRAN_RI_026-d3nzuqqorn--jyhfny6zk2il","d3nzuqqorn--jyhfny6zk2il","Voltaire (lycée)",,
"place/FRAN_RI_026-d3nzuqr0u7-1lhrrvy0khi36","d3nzuqr0u7-1lhrrvy0khi36","York (hôtel d')",,
